circuit,total_laps,tire_type,wear_rate_per_lap,degradation_0,degradation_10,degradation_20,degradation_30,degradation_40,degradation_50,degradation_60,degradation_70,degradation_80,degradation_90,degradation_100,base_delta
Monaco,26,Soft,5.4,-0.5,0.1,0.8,1.6,2.5,3.5,4.6,5.8,7.1,8.5,10.0,-0.5
Monaco,26,Medium,3.6,0.0,0.4,0.9,1.5,2.2,3.0,3.9,4.9,6.0,7.2,8.5,0.0
Monaco,26,Hard,2.4,0.5,0.6,0.8,1.1,1.5,2.0,2.6,3.3,4.1,5.0,6.0,0.5
Silverstone,17,Soft,6.3,-0.5,0.2,1.0,1.9,2.9,4.0,5.2,6.5,7.9,9.4,11.0,-0.5
Silverstone,17,Medium,4.5,0.0,0.5,1.1,1.8,2.6,3.5,4.5,5.6,6.8,8.1,9.5,0.0
Silverstone,17,Hard,3.0,0.5,0.7,1.0,1.4,1.9,2.5,3.2,4.0,4.9,5.9,7.0,0.5
Spa,15,Soft,7.5,-0.5,0.3,1.2,2.2,3.3,4.5,5.8,7.2,8.7,10.3,12.0,-0.5
Spa,15,Medium,5.4,0.0,0.6,1.3,2.1,3.0,4.0,5.1,6.3,7.6,9.0,10.5,0.0
Spa,15,Hard,3.6,0.5,0.8,1.2,1.7,2.3,3.0,3.8,4.7,5.7,6.8,8.0,0.5
Monza,18,Soft,5.7,-0.5,0.2,1.0,1.9,2.9,4.0,5.2,6.5,7.9,9.4,11.0,-0.5
Monza,18,Medium,3.9,0.0,0.5,1.1,1.8,2.6,3.5,4.5,5.6,6.8,8.1,9.5,0.0
Monza,18,Hard,2.7,0.5,0.7,1.0,1.4,1.9,2.5,3.2,4.0,4.9,5.9,7.0,0.5
Singapore,20,Soft,6.0,-0.5,0.2,1.0,1.9,2.9,4.0,5.2,6.5,7.9,9.4,11.0,-0.5
Singapore,20,Medium,4.2,0.0,0.5,1.1,1.8,2.6,3.5,4.5,5.6,6.8,8.1,9.5,0.0
Singapore,20,Hard,3.0,0.5,0.7,1.0,1.4,1.9,2.5,3.2,4.0,4.9,5.9,7.0,0.5
Shanghai,6,Soft,36.0,-0.5,0.3,1.2,2.2,3.3,4.5,5.8,7.2,8.7,10.3,12.0,-0.5
Shanghai,6,Medium,24.0,0.0,0.6,1.3,2.1,3.0,4.0,5.1,6.3,7.6,9.0,10.5,0.0
Shanghai,6,Hard,15.0,0.5,0.8,1.2,1.7,2.3,3.0,3.8,4.7,5.7,6.8,8.0,0.5
Hungaroring,23,Soft,5.1,-0.5,0.1,0.8,1.6,2.5,3.5,4.6,5.8,7.1,8.5,10.0,-0.5
Hungaroring,23,Medium,3.6,0.0,0.4,0.9,1.5,2.2,3.0,3.9,4.9,6.0,7.2,8.5,0.0
Hungaroring,23,Hard,2.4,0.5,0.6,0.8,1.1,1.5,2.0,2.6,3.3,4.1,5.0,6.0,0.5